ShipmentID,ShipmentDate,PlannedArrivalDate,ActualArrivalDate,PlannedDuration,ActualDuration,DeliveryVariance,OnTimeDeliveryFlag,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,ShipmentSize,ValueCategory,Season,Month,Year,CustomerKey,OriginLocationKey,DestinationLocationKey,FreightTypeKey
10216,2019-08-15 00:00:00.000,2019-08-15,,0.0,,,0,9.98,0.0,1,0.0,Small,Low,Summer,8,2019,13,4229,3061,1
10887,2019-10-28 00:00:00.000,2019-10-28,,0.0,,,0,3061.0,0.0,14,1003985.41,Small,Medium,Fall,10,2019,13,4229,3061,1
10935,2020-01-04 00:00:00.000,2020-01-06,,2.0,,,0,21.6,0.0,2,3738.21,Small,Low,Winter,1,2020,13,336,3061,1
19795,2020-01-18 00:00:00.000,2020-01-20,,2.0,,,0,334.0,0.0,2,0.0,Small,Low,Winter,1,2020,13,5038,3061,1
9964,2019-02-02 00:00:00.000,2019-02-04,,2.0,,,0,69.0,0.34,1,0.0,Small,Low,Winter,2,2019,13,3644,8101,1
13866,2020-03-04 00:00:00.000,2020-03-05,,1.0,,,0,1020.0,1.8,1,0.0,Small,Low,Spring,3,2020,22,4771,8101,1
3668,2019-05-23 00:00:00.000,2019-05-25,,2.0,,,0,165.0,0.65,1,0.0,Small,Low,Spring,5,2019,38,2882,8101,1
4054,2019-10-08 00:00:00.000,2019-10-10,,2.0,,,0,122.0,0.97,1,0.0,Small,Low,Fall,10,2019,38,2882,8101,1
4034,2019-09-27 00:00:00.000,2019-09-30,,3.0,,,0,254.0,0.88,1,0.0,Small,Low,Fall,9,2019,42,2710,7044,1
3935,2019-08-31 00:00:00.000,2019-09-02,,2.0,,,0,100.0,0.28,2,0.0,Small,Low,Summer,8,2019,48,701,8101,1
26908,2022-01-05 00:00:00.000,2022-01-10,,5.0,,,0,221.0,2.04,1,0.0,Small,Low,Winter,1,2022,48,1331,8101,1
14457,2020-09-26 00:00:00.000,2020-09-28,,2.0,,,0,3.0,0.04,2,0.0,Small,Low,Fall,9,2020,57,1331,6731,1
14304,2020-08-26 00:00:00.000,2020-08-28,,2.0,,,0,6.6,0.06,2,0.0,Small,Low,Summer,8,2020,60,1331,8101,1
4283,2019-11-27 00:00:00.000,2019-11-28,,1.0,,,0,265.0,1.25,1,0.0,Small,Low,Fall,11,2019,98,1331,4001,1
4323,2019-12-07 00:00:00.000,2019-12-08,,1.0,,,0,330.0,1.69,2,0.0,Small,Low,Winter,12,2019,98,1331,4001,1
622,2019-11-15 00:00:00.000,2019-11-17,,2.0,,,0,48.0,0.39,1,0.0,Small,Low,Fall,11,2019,99,1331,8101,1
3884,2019-07-25 00:00:00.000,2019-07-30,,5.0,,,0,328.0,1.43,1,0.0,Small,Low,Summer,7,2019,107,1385,8101,1
4078,2019-10-11 00:00:00.000,2019-10-13,,2.0,,,0,61.0,0.25,4,0.0,Small,Low,Fall,10,2019,119,701,8101,1
