ShipmentID,ShipmentDate,PlannedArrivalDate,ActualDepartureDate,ActualArrivalDate,TotalWeight,TotalVolume,TotalPackages,ShipmentValue,IsDelivered,DurationDays,DateKey,CustomerKey,EquipmentKey,FreightTypeKey,OriginLocationKey,DestinationLocationKey
14813,2020-12-10,2020-12-13,,,23.5,0.336,1,,0,,20201210,2604.0,1.0,1.0,2796.0,8101.0
14814,2020-12-12,2020-12-13,,,39.5,0.509,1,,0,,20201212,1997.0,1.0,1.0,2796.0,8101.0
14814,2020-12-12,2020-12-13,,,39.5,0.509,1,,0,,20201212,2604.0,1.0,1.0,2796.0,8101.0
14843,2020-12-16,2020-12-18,,,41.0,0.466,2,,0,,20201216,1997.0,1.0,1.0,2796.0,8101.0
14843,2020-12-16,2020-12-18,,,41.0,0.466,2,,0,,20201216,2604.0,1.0,1.0,2796.0,8101.0
14585,2020-10-27,2020-10-31,,,57.5,0.854,1,,0,,20201027,1997.0,1.0,1.0,2796.0,8101.0
14585,2020-10-27,2020-10-31,,,57.5,0.854,1,,0,,20201027,2604.0,1.0,1.0,2796.0,8101.0
14596,2020-10-30,2020-11-01,,,28.5,0.312,1,,0,,20201030,1997.0,1.0,1.0,2796.0,8101.0
14596,2020-10-30,2020-11-01,,,28.5,0.312,1,,0,,20201030,2604.0,1.0,1.0,2796.0,8101.0
14610,2020-11-02,2020-11-04,,,19.5,0.245,1,,0,,20201102,1997.0,1.0,1.0,2796.0,8101.0
14610,2020-11-02,2020-11-04,,,19.5,0.245,1,,0,,20201102,2604.0,1.0,1.0,2796.0,8101.0
14678,2020-11-15,2020-11-16,,,42.5,0.572,1,,0,,20201115,1997.0,1.0,1.0,2796.0,8101.0
14678,2020-11-15,2020-11-16,,,42.5,0.572,1,,0,,20201115,2604.0,1.0,1.0,2796.0,8101.0
14697,2020-11-21,2020-11-22,,,23.5,0.326,1,,0,,20201121,1997.0,1.0,1.0,2796.0,8101.0
14697,2020-11-21,2020-11-22,,,23.5,0.326,1,,0,,20201121,2604.0,1.0,1.0,2796.0,8101.0
14724,2020-11-22,2020-11-25,,,50.0,0.509,2,,0,,20201122,1997.0,1.0,1.0,2796.0,8101.0
14724,2020-11-22,2020-11-25,,,50.0,0.509,2,,0,,20201122,2604.0,1.0,1.0,2796.0,8101.0
14492,2020-10-04,2020-10-05,,,32.0,0.442,1,,0,,20201004,1997.0,1.0,1.0,2796.0,8101.0
14492,2020-10-04,2020-10-05,,,32.0,0.442,1,,0,,20201004,2604.0,1.0,1.0,2796.0,8101.0
