ShipmentDate,Shipments,6M_Forecast,InvoiceDate,NetAmount,Correlation
2021-12-30,18,8.016666666666667,2021-12-30,190456.762,0.013646986353854362
2021-12-31,2,8.022222222222222,2021-12-31,243667.992,0.013646986353854362
2022-01-01,3,8.033333333333333,2022-01-01,12619.06,0.013646986353854362
2022-01-03,12,8.083333333333334,2022-01-03,207804.582,0.013646986353854362
2022-01-04,11,8.127777777777778,2022-01-04,15247.289999999999,0.013646986353854362
2022-01-05,24,8.15,2022-01-05,24484.188000000002,0.013646986353854362
2022-01-06,8,8.005555555555556,2022-01-06,195495.28100000002,0.013646986353854362
2022-01-07,37,8.2,2022-01-07,26241.21,0.013646986353854362
2022-01-08,57,8.505555555555556,2022-01-08,27421.32,0.013646986353854362
2022-01-10,7,8.377777777777778,2022-01-10,194525.988,0.013646986353854362
2022-01-11,13,8.444444444444445,2022-01-11,126201.207,0.013646986353854362
2022-01-12,34,8.55,2022-01-12,610951.16,0.013646986353854362
2022-01-13,15,8.605555555555556,2022-01-13,44280.916,0.013646986353854362
2022-01-14,29,8.755555555555556,2022-01-14,26762.247,0.013646986353854362
2022-01-15,57,8.905555555555555,2022-01-15,243061.24599999998,0.013646986353854362
2022-01-16,6,8.927777777777777,2022-01-16,1489.27,0.013646986353854362
2022-01-17,7,8.96111111111111,2022-01-17,57500.397000000004,0.013646986353854362
2022-01-18,6,8.95,2022-01-18,264677.70900000003,0.013646986353854362
2022-01-19,26,9.061111111111112,2022-01-19,45158.088,0.013646986353854362
2022-01-20,8,9.094444444444445,2022-01-20,4231151.886,0.013646986353854362
2022-01-21,37,9.28888888888889,2022-01-21,174404.583,0.013646986353854362
2022-01-22,47,9.372222222222222,2022-01-22,2788.0660000000003,0.013646986353854362
2022-01-23,6,9.355555555555556,2022-01-23,238.0,0.013646986353854362
2022-01-24,4,9.35,2022-01-24,111755.00200000001,0.013646986353854362
2022-01-25,10,9.383333333333333,2022-01-25,261971.93300000002,0.013646986353854362
2022-01-26,24,9.505555555555556,2022-01-26,103690.462,0.013646986353854362
2022-01-27,18,9.6,2022-01-27,154077.225,0.013646986353854362
2022-01-28,24,9.727777777777778,2022-01-28,77139.934,0.013646986353854362
2022-01-29,59,10.044444444444444,2022-01-29,936.642,0.013646986353854362
2022-01-31,8,10.1,2022-01-31,1385489.418,0.013646986353854362
2022-02-01,7,10.116666666666667,2022-02-01,261916.137,0.013646986353854362
2022-02-02,57,10.416666666666666,2022-02-02,1785506.268,0.013646986353854362
2022-02-03,6,10.422222222222222,2022-02-03,271890.424,0.013646986353854362
2022-02-04,72,10.805555555555555,2022-02-04,56821.252,0.013646986353854362
2022-02-05,22,10.877777777777778,2022-02-05,237546.73799999998,0.013646986353854362
2022-02-07,6,10.922222222222222,2022-02-07,35838.747,0.013646986353854362
2022-02-08,5,10.944444444444445,2022-02-08,310387.146,0.013646986353854362
2022-02-09,40,11.161111111111111,2022-02-09,56711.123999999996,0.013646986353854362
2022-02-10,20,11.177777777777777,2022-02-10,255991.719,0.013646986353854362
2022-02-11,57,11.444444444444445,2022-02-11,120951.72899999999,0.013646986353854362
2022-02-12,33,11.588888888888889,2022-02-12,465.078,0.013646986353854362
2022-02-14,10,11.65,2022-02-14,297691.462,0.013646986353854362
2022-02-15,5,11.661111111111111,2022-02-15,263492.85,0.013646986353854362
2022-02-16,40,11.872222222222222,2022-02-16,57032.275,0.013646986353854362
2022-02-17,26,12.011111111111111,2022-02-17,71895.981,0.013646986353854362
2022-02-18,41,12.227777777777778,2022-02-18,64121.361,0.013646986353854362
2022-02-19,36,12.422222222222222,2022-02-19,41600.01,0.013646986353854362
2022-02-20,13,12.483333333333333,2022-02-20,2158.982,0.013646986353854362
2022-02-21,10,12.527777777777779,2022-02-21,110239.038,0.013646986353854362
2022-02-22,6,12.555555555555555,2022-02-22,838585.525,0.013646986353854362
