CustomerKey,TotalInvoices,TotalRevenue,AvgInvoiceValue
1475,3670,25210726.873,6869.407867302452
1477,10,10267.063,1026.7063
1480,6,6381.93,1063.655
1487,5,179.92,35.983999999999995
1494,4,906.8,226.7
1495,10,773.95,77.39500000000001
1496,1,0.6,0.6
1500,2,584.8,292.4
1504,35,9569.577,273.41648571428567
1505,15,1136.871,75.79140000000001
1510,8,2804.83,350.60375
1518,2,111.865,55.9325
1520,1,956.57,956.57
1525,3,960.0,320.0
1530,3,181.8,60.6
1537,1,280.9,280.9
1553,3,639.981,213.327
1554,1,366.039,366.039
1561,8,1692.9499999999998,211.61874999999998
1563,6,1427.653,237.94216666666668
1564,6,1842.318,307.053
1565,1,446.822,446.822
1567,25,10369.078,414.76311999999996
1569,2,105.32499999999999,52.662499999999994
1570,3,90000.0,30000.0
1572,6,3682.5,613.75
1575,14,7759.378,554.2412857142857
1580,3,1010.793,336.931
1581,6,2016.94,336.1566666666667
1585,2,501.0,250.5
1586,25,12899.619,515.98476
1589,7,1802.193,257.4561428571429
1590,34,57418.85,1688.7897058823528
1597,14,3685.7129999999997,263.26521428571425
1600,83,25921.343,312.3053373493976
1603,1,221.0,221.0
1619,2,288.531,144.2655
1620,5,36620.561,7324.1122000000005
1626,12,277.3,23.108333333333334
1628,2,844.1200000000001,422.06000000000006
1638,3,2503.05,834.35
1639,1,126.145,126.145
1640,2,1363.12,681.56
1641,1,311.049,311.049
1643,1,400.103,400.103
1646,3,1425.516,475.172
1652,4,61.910000000000004,15.477500000000001
1658,852,1180001.101,1384.9778180751175
1667,26,22409.391,861.8996538461538
1672,2,1327.489,663.7445
1678,40,14668.8,366.71999999999997
1679,2,1.2,0.6
1680,24,17746.5,739.4375
1681,3,1290.0,430.0
1682,5,3065.6,613.12
1688,3,20578.66,6859.553333333333
1690,16,29273.35,1829.584375
1692,10,3070.0,307.0
1693,3632,1632786.209,449.555674284141
1695,6,1440.0,240.0
1699,3,5400.0,1800.0
1700,24,1200.0,50.0
1705,7,3175.0,453.57142857142856
1706,42,38655.1,920.3595238095238
1710,3,270.0,90.0
1711,6,1966.5,327.75
1712,3,225.0,75.0
1713,1,60.0,60.0
1714,218,369121.57,1693.2182110091744
1715,1,210.0,210.0
1716,18,13267.5,737.0833333333334
1717,3,1455.0,485.0
1719,9,6321.0,702.3333333333334
1720,4,1305.0,326.25
1722,13,17282.2,1329.4
1724,3,75.0,25.0
1726,138,133901.71,970.3022463768116
1727,7,2250.0,321.42857142857144
1730,1,1.0,1.0
1734,14,8186.0,584.7142857142857
1735,10,60020.799999999996,6002.08
1736,3,978.0,326.0
1738,15,4781.43,318.762
1739,141,97453.03,691.1562411347518
1741,13,10633.3,817.9461538461538
1742,10,8251.206,825.1206
1743,5,2873.0,574.6
1745,1,795.25,795.25
1747,12,3109.8,259.15000000000003
1749,1,762.4,762.4
1750,12,21621.15,1801.7625
1752,2,3540.0,1770.0
1755,98,66038.694,673.8642244897959
1756,6,1133.0,188.83333333333334
1757,98,2260070.917,23061.94813265306
1758,236,858035.51,3635.743686440678
1762,218,90810.447,416.5616834862385
1763,1,579.34,579.34
1766,4,1415.5,353.875
1767,10,3186.2,318.62
1769,9,2565.0,285.0
1773,12,3666.0,305.5
1774,46,41901.1,910.8934782608695
1775,3,1215.0,405.0
1776,4,8163.45,2040.8625
1778,2,2075.0,1037.5
1779,11,63680.0,5789.090909090909
1780,226,5199767.625,23007.821349557522
1786,3,1275.0,425.0
1788,8,5892.3,736.5375
1789,1,1300.0,1300.0
1791,1,355.0,355.0
1793,3,849.72,283.24
1794,199,52463.58,263.63608040201007
1795,3,651.0,217.0
1796,46,237504.459,5163.1404130434785
1797,6,93784.5,15630.75
1799,11,11567.5,1051.590909090909
1801,35,16548.12,472.8034285714285
1802,3,75.0,25.0
1804,2,3624.0,1812.0
1805,2,826.62,413.31
1810,24,14035.0,584.7916666666666
1811,16,7972.4,498.275
1818,12,73095.0,6091.25
1822,3,1.7999999999999998,0.6
1823,9,5005.5,556.1666666666666
1824,6,1704.0,284.0
1826,2,1.2,0.6
1829,15,6068.0,404.53333333333336
1831,6,3420.16,570.0266666666666
1832,1,970.0,970.0
1833,2,870.0,435.0
1834,8,1950.0,243.75
1835,3,540.54,180.17999999999998
1836,4,1010.2,252.55
1837,132,236301.15,1790.1602272727273
1838,5,525.0,105.0
1841,11,108551.81,9868.346363636363
1844,3,5730.0,1910.0
